Начальная станция; Конечная станция; УП; Вес;
БЕСТУЖЕВО-БЕРКАКИТ; БЕСТУЖЕВО — БЕРКАКИТ;1;
ШАХТАУМ-БЕСТУЖЕВО; ШАХТАУМ — БЕСТУЖЕВО;1;
ТЫНДА-ШАХТАУМ; ТЫНДА — ШАХТАУМ;5;
НЕРЮНГРИ-ПАССАЖИРСКАЯ-БЕРКАКИТ; НЕРЮНГРИ-ПАССАЖИРСКАЯ — БЕРКАКИТ;1;
НЕРЮНГРИ-ГРУЗОВАЯ-НЕРЮНГРИ-ПАССАЖИРСКАЯ; НЕРЮНГРИ-ГРУЗОВАЯ — НЕРЮНГРИ-ПАССАЖИРСКАЯ;1;
РОЗЕНГАРТОВКА-БИКИН; РОЗЕНГАРТОВКА — БИКИН;1;
ВЯЗЕМСКАЯ-РОЗЕНГАРТОВКА; ВЯЗЕМСКАЯ — РОЗЕНГАРТОВКА;1;
КРУГЛИКОВО-ВЯЗЕМСКАЯ; КРУГЛИКОВО — ВЯЗЕМСКАЯ;1;
ХАБАРОВСК II-КРУГЛИКОВО; ХАБАРОВСК II — КРУГЛИКОВО;1;
НАНХЧУЛ-БИСКАМЖА; НАНХЧУЛ — БИСКАМЖА;1;
МЕЖДУРЕЧЕНСК-БИСКАМЖА; МЕЖДУРЕЧЕНСК — БИСКАМЖА;1;
БЕЛОГОРСК-БЛАГОВЕЩЕНСК; БЕЛОГОРСК — БЛАГОВЕЩЕНСК;1;
ОУНЭ-БЛОКПОСТ 197 КМ; ОУНЭ — БЛОКПОСТ 197 КМ;3;
МАРИИНСК-БОГОТОЛ; МАРИИНСК — БОГОТОЛ;1;
ПОСТЫШЕВО-БОЛЕН; ПОСТЫШЕВО — БОЛЕН;1;
АНДРИАНОВСКАЯ-БОЛЬШОЙ ЛУГ; АНДРИАНОВСКАЯ — БОЛЬШОЙ ЛУГ;1;
ЗУН-ТОРЕЙ-БОРЗЯ; ЗУН-ТОРЕЙ — БОРЗЯ;1;
ШАХТЕРСКАЯ-ЗУН-ТОРЕЙ; ШАХТЕРСКАЯ — ЗУН-ТОРЕЙ;1;
ЯСНОГОРСК-ЗАБАЙКАЛЬСКИЙ-ШАХТЕРСКАЯ; ЯСНОГОРСК-ЗАБАЙКАЛЬСКИЙ — ШАХТЕРСКАЯ;1;
ОЛОВЯННАЯ-ЯСНОГОРСК-ЗАБАЙКАЛЬСКИЙ; ОЛОВЯННАЯ — ЯСНОГОРСК-ЗАБАЙКАЛЬСКИЙ;1;
ЧЕРНОРЕЧЕНСКАЯ-БУГАЧ; ЧЕРНОРЕЧЕНСКАЯ — БУГАЧ;1;
КРАСНОЯРСК-БУГАЧ; КРАСНОЯРСК — БУГАЧ;1;
ЗАВИТАЯ-БУРЕЯ; ЗАВИТАЯ — БУРЕЯ;1;
АДРИАНОВКА-БУРЯТСКАЯ; АДРИАНОВКА — БУРЯТСКАЯ;1;
ТАРСКАЯ-АДРИАНОВКА; ТАРСКАЯ — АДРИАНОВКА;1;
ТОКИ-ВАНИНО; ТОКИ — ВАНИНО;1;
ДИПКУН-ВЕРХНЕЗЕЙСК; ДИПКУН — ВЕРХНЕЗЕЙСК;1;
БЕСТУЖЕВО-ДИПКУН; БЕСТУЖЕВО — ДИПКУН;1;
ТУРМА-ВИХОРЕВКА; ТУРМА — ВИХОРЕВКА;1;
ПЕРВАЯ РЕЧКА-ВЛАДИВОСТОК; ПЕРВАЯ РЕЧКА — ВЛАДИВОСТОК;1;
ВТОРАЯ РЕЧКА-ПЕРВАЯ РЕЧКА; ВТОРАЯ РЕЧКА — ПЕРВАЯ РЕЧКА;1;
ГАЙДАМАК-ВЛАДИВОСТОК; ГАЙДАМАК — ВЛАДИВОСТОК;1;
СЕЛЬГОН-ВОЛОЧАЕВКА II; СЕЛЬГОН — ВОЛОЧАЕВКА II;1;
УГОЛЬНАЯ-ВТОРАЯ РЕЧКА; УГОЛЬНАЯ — ВТОРАЯ РЕЧКА;1;
ГАЙДАМАК-ВТОРАЯ РЕЧКА; ГАЙДАМАК — ВТОРАЯ РЕЧКА;1;
МЫС-ЧУРКИН-ГАЙДАМАК; МЫС-ЧУРКИН — ГАЙДАМАК;1;
ГАЙДАМАК-ПЕРВАЯ РЕЧКА; ГАЙДАМАК — ПЕРВАЯ РЕЧКА;1;
БЛОКПОСТ 197 КМ-ВЫСОКОГОРНАЯ; БЛОКПОСТ 197 КМ — ВЫСОКОГОРНАЯ;1;
СУХАНОВКА-ГВОЗДЕВО; СУХАНОВКА — ГВОЗДЕВО;1;
КИЖА-ГОРХОН; КИЖА — ГОРХОН;1;
ГРОДЕКОВО II-ГРОДЕКОВО; ГРОДЕКОВО II — ГРОДЕКОВО;1;
ВОЗДВИЖЕНСКИЙ-ГРОДЕКОВО II; ВОЗДВИЖЕНСКИЙ — ГРОДЕКОВО II;1;
УССУРИЙСК-ВОЗДВИЖЕНСКИЙ; УССУРИЙСК — ВОЗДВИЖЕНСКИЙ;2;
ЛУЧЕГОРСК-ГУБЕРОВО; ЛУЧЕГОРСК — ГУБЕРОВО;1;
БИКИН-ЛУЧЕГОРСК; БИКИН — ЛУЧЕГОРСК;1;
ОУНЭ-ГУРСКОЕ; ОУНЭ — ГУРСКОЕ;1;
ТЫЯ-ДАБАН; ТЫЯ — ДАБАН;1;
ТУБИНСКАЯ-ДИАБАЗОВЫЙ; ТУБИНСКАЯ — ДИАБАЗОВЫЙ;1;
ШУШЬ-ДУБИНИНО; ШУШЬ — ДУБИНИНО;1;
СУЛУК-ДУССЕ-АЛИНЬ; СУЛУК — ДУССЕ-АЛИНЬ;1;
АМАЗАР-ЕРОФЕЙ ПАВЛОВИЧ; АМАЗАР — ЕРОФЕЙ ПАВЛОВИЧ;1;
МОГОЧА-АМАЗАР; МОГОЧА — АМАЗАР;1;
ЗИЛОВО-ЖИРЕКЕН; ЗИЛОВО — ЖИРЕКЕН;1;
ХАРАНОР-ЗАБАЙКАЛЬСК; ХАРАНОР — ЗАБАЙКАЛЬСК;1;
БЕЛОГОРСК II-ЗАВИТАЯ; БЕЛОГОРСК II — ЗАВИТАЯ;1;
ЗАУДИНСКИЙ-ЗАГУСТАЙ; ЗАУДИНСКИЙ — ЗАГУСТАЙ;1;
УЛАН-УДЭ-ЗАУДИНСКИЙ; УЛАН-УДЭ — ЗАУДИНСКИЙ;1;
НИЯ-ЗВЕЗДНАЯ; НИЯ — ЗВЕЗДНАЯ;1;
ЕНИСЕЙ-ЗЛОБИНО; ЕНИСЕЙ — ЗЛОБИНО;1;
КРАСНОЯРСК-ЕНИСЕЙ; КРАСНОЯРСК — ЕНИСЕЙ;1;
ДИВНОГОРСК-ЕНИСЕЙ; ДИВНОГОРСК — ЕНИСЕЙ;1;
МЕГЕТ-ЗУЙ; МЕГЕТ — ЗУЙ;2;
ХРЕБТОВАЯ-ИГИРМА; ХРЕБТОВАЯ — ИГИРМА;1;
ОБЛУЧЬЕ-ИЗВЕСТКОВАЯ; ОБЛУЧЬЕ — ИЗВЕСТКОВАЯ;1;
НОВАЯ ЧАРА-ИКАБЬЯКАН; НОВАЯ ЧАРА — ИКАБЬЯКАН;1;
ЗАОЗЕРНАЯ-ИЛАНСКАЯ; ЗАОЗЕРНАЯ — ИЛАНСКАЯ;1;
БОЛЬШАЯ ИРБА-ИРБА; БОЛЬШАЯ ИРБА — ИРБА;1;
КУРАГИНО-ИРБА; КУРАГИНО — ИРБА;1;
МИНУСИНСК-КУРАГИНО; МИНУСИНСК — КУРАГИНО;1;
ПОДСИНИЙ-МИНУСИНСК; ПОДСИНИЙ — МИНУСИНСК;1;
АБАКАН-ПОДСИНИЙ; АБАКАН — ПОДСИНИЙ;1;
БАТАРЕЙНАЯ-ИРКУТСК-СОРТИРОВОЧНЫЙ; БАТАРЕЙНАЯ — ИРКУТСК-СОРТИРОВОЧНЫЙ;1;
МЕГЕТ-СУХОВСКАЯ; МЕГЕТ — СУХОВСКАЯ;1;
БАТАРЕЙНАЯ-МЕГЕТ; БАТАРЕЙНАЯ — МЕГЕТ;1;
